n,rmse,mae,crps,spearman,cov50,cov80,cov90,rmse_base,model,method,season,week,shrunk,fit_time,n_train,n_dropped
195,8.215436813028745,5.937026239258387,4.303331442070845,0.5330165933031906,0.4512820512820513,0.7538461538461538,0.8666666666666667,8.056038036197045,team,nuts,2013,9.0,true,78.19741892814636,1755,8
208,6.781956848201121,5.015024077205207,3.5288139144604753,0.6247198304812694,0.5,0.8413461538461539,0.9375,6.965711976148925,r2d2,nuts,2013,10.0,false,93.39617109298706,1958,7
208,6.792184542287861,5.01612209104994,3.4964510928443775,0.6235574127588751,0.5096153846153846,0.8365384615384616,0.9326923076923077,6.965711976148925,r2d2,nuts,2013,10.0,true,91.92100310325623,1958,7
208,6.719152023375819,4.978588619367405,3.4777452633042407,0.6365527493845643,0.4807692307692308,0.8317307692307693,0.9375,6.965711976148925,team,nuts,2013,10.0,true,127.08074235916138,1958,7
235,6.794359822298966,4.9865253193938965,3.6003114988073497,0.5624750556950115,0.4765957446808511,0.8212765957446808,0.9191489361702128,6.799621878640393,r2d2,nuts,2013,11.0,false,105.72939229011536,2173,4
235,6.802105682133171,5.000917473913169,3.595391238214489,0.5617115816445566,0.4595744680851064,0.8382978723404255,0.9148936170212766,6.799621878640393,r2d2,nuts,2013,11.0,true,96.56143522262573,2173,4
235,6.788353126568257,4.985228412321511,3.580311805477148,0.5624658070693247,0.46808510638297873,0.825531914893617,0.9106382978723404,6.799621878640393,team,nuts,2013,11.0,true,122.37163281440735,2173,4
208,5.995521497579503,4.5191402737191355,3.203320896757072,0.6444190218352179,0.5384615384615384,0.8557692307692307,0.9471153846153846,6.237294057464545,r2d2,nuts,2013,12.0,false,153.75042700767517,2412,1
208,5.992865416929634,4.515376559419758,3.1930517582686018,0.6453675011954035,0.5384615384615384,0.8509615384615384,0.9326923076923077,6.237294057464545,r2d2,nuts,2013,12.0,true,94.6188600063324,2412,1
208,5.977503470687881,4.506572482600541,3.1800288625966666,0.64508269058584,0.5384615384615384,0.8557692307692307,0.9326923076923077,6.237294057464545,team,nuts,2013,12.0,true,89.90110206604004,2412,1
236,6.861182180364737,4.971044342711888,3.4653940370616882,0.6225756348865465,0.5127118644067796,0.8516949152542372,0.9322033898305084,7.063300888168093,r2d2,nuts,2013,13.0,false,110.2136378288269,2621,4
236,6.865216789632397,4.970035501881335,3.4590741475626148,0.6208157369942279,0.5211864406779662,0.8516949152542372,0.9279661016949152,7.063300888168093,r2d2,nuts,2013,13.0,true,102.2140736579895,2621,4
236,6.839563016871964,4.949236541729878,3.442648904556079,0.6237877046411785,0.5127118644067796,0.847457627118644,0.9279661016949152,7.063300888168093,team,nuts,2013,13.0,true,91.59597706794739,2621,4
238,6.646005614166863,5.087187968983344,3.5498389362688094,0.6402258807386555,0.4831932773109244,0.819327731092437,0.9159663865546218,6.7009995206045,r2d2,nuts,2013,14.0,false,163.6274139881134,2861,3
238,6.660593878580465,5.065157278830409,3.5649951088196343,0.6367573745141644,0.49159663865546216,0.8277310924369747,0.9117647058823529,6.7009995206045,r2d2,nuts,2013,14.0,true,111.45666480064392,2861,3
238,6.673668898301403,5.118960902194747,3.57107395046253,0.6438123633653402,0.4789915966386555,0.8277310924369747,0.9243697478991597,6.7009995206045,team,nuts,2013,14.0,true,108.07112097740173,2861,3
237,7.543563499362686,5.557837846723319,3.9792112209223474,0.6012033928780505,0.4092827004219409,0.8016877637130801,0.869198312236287,7.728438455430955,r2d2,nuts,2013,15.0,false,112.66075801849365,3102,1
237,7.558249752484435,5.551343128082782,3.9967841420643224,0.5999864248602954,0.4008438818565401,0.8016877637130801,0.8734177215189873,7.728438455430955,r2d2,nuts,2013,15.0,true,116.01888012886047,3102,1
237,7.559685088117506,5.55590992222826,3.9938263944103882,0.5989484625124359,0.39662447257383965,0.7974683544303798,0.8734177215189873,7.728438455430955,team,nuts,2013,15.0,true,137.2277135848999,3102,1
247,6.603042868652937,4.942751611288352,3.527897403035782,0.5724668081907314,0.5506072874493927,0.8502024291497976,0.9068825910931174,7.306238645859264,r2d2,nuts,2019,6.0,false,402.65839409828186,11215,16
247,6.5951967722116525,4.9346619239465275,3.517276611047659,0.5767923345541455,0.5465587044534413,0.854251012145749,0.9068825910931174,7.306238645859264,r2d2,nuts,2019,6.0,true,327.26691603660583,11215,16
247,6.604247683443547,4.952052760485542,3.522329380771405,0.5731848089303039,0.5384615384615384,0.8502024291497976,0.902834008097166,7.306238645859264,team,nuts,2019,6.0,true,416.97865295410156,11215,16
257,7.035127541948235,5.229768933770515,3.6584469438316622,0.5401170862312075,0.49416342412451364,0.8404669260700389,0.933852140077821,7.6603467094817725,r2d2,nuts,2019,7.0,false,379.54482769966125,11478,13
257,7.020492808529969,5.2174097947284555,3.637414511762734,0.5434885978858988,0.48638132295719844,0.8365758754863813,0.933852140077821,7.6603467094817725,r2d2,nuts,2019,7.0,true,387.26262879371643,11478,13
257,7.0238169265589745,5.229076423008841,3.6381892893901346,0.5393467681127664,0.490272373540856,0.8404669260700389,0.9377431906614786,7.6603467094817725,team,nuts,2019,7.0,true,434.6609101295471,11478,13
271,6.798264094352663,4.942316292065175,3.489324099965558,0.6128216281793051,0.5424354243542435,0.8302583025830258,0.9298892988929889,6.963315907718706,r2d2,nuts,2019,8.0,false,386.7020118236542,11748,18
