player_id,season,week,rush_attempt,rec_attempt,pass_attempt,rec_air_yards,lag_yards_per_rush_attempt,lag_yards_per_target,lag_yards_per_pass_attempt,lag_yards_per_rush_attempt_shrunk,lag_yards_per_target_shrunk,lag_yards_per_pass_attempt_shrunk,lag_avg_depth_of_target_shrunk,lag_rec_air_yards
00-0000166,2006,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000166,2006,2.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,4.258976728496787,7.727716348778833,7.0964572513420325,6.295282391390544,5.0
00-0000166,2006,3.0,0.0,1.0,0.0,12.0,0.0,4.0,0.0,4.258976728496787,7.648508427986754,7.0964572513420325,5.488722581659404,0.0
00-0000166,2006,10.0,0.0,6.0,0.0,27.0,0.0,24.0,0.0,4.258976728496787,7.766162698772758,7.0964572513420325,8.852476472948243,12.0
00-0000166,2006,11.0,0.0,1.0,0.0,3.0,0.0,8.166666666666666,0.0,4.258976728496787,7.699022827443321,7.0964572513420325,5.983381511461192,27.0
00-0000166,2006,12.0,0.0,3.0,0.0,11.0,0.0,4.0,0.0,4.258976728496787,7.666660211210569,7.0964572513420325,7.121430372797512,3.0
00-0000166,2006,13.0,0.0,2.0,0.0,10.0,0.0,6.333333333333333,0.0,4.258976728496787,7.665018238686327,7.0964572513420325,6.254266210171195,11.0
00-0000166,2006,14.0,0.0,1.0,0.0,12.0,0.0,8.0,0.0,4.258976728496787,7.688112388382794,7.0964572513420325,7.101842201121684,10.0
00-0000251,2006,1.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000251,2006,2.0,0.0,3.0,0.0,4.0,2.0,8.666666666666666,0.0,4.1518150645859695,7.699500997307016,7.0964572513420325,5.976456341277936,9.0
00-0000251,2006,3.0,3.0,2.0,0.0,-10.0,0.0,3.3333333333333335,0.0,4.258976728496787,7.620683263316868,7.0964572513420325,5.281931669044786,4.0
00-0000251,2006,5.0,4.0,0.0,0.0,0.0,4.0,-1.5,0.0,4.225314362619669,7.5940529824422,7.0964572513420325,3.875602962197125,-10.0
00-0000251,2006,6.0,0.0,3.0,0.0,-4.0,0.75,0.0,0.0,3.6760922285606314,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0000251,2006,7.0,0.0,2.0,0.0,0.0,0.0,3.3333333333333335,0.0,4.258976728496787,7.620683263316868,7.0964572513420325,4.170692193471748,-4.0
00-0000251,2006,10.0,2.0,2.0,0.0,-7.0,0.0,0.0,0.0,4.258976728496787,7.6089044675907145,7.0964572513420325,5.488722581659404,0.0
00-0000251,2006,11.0,6.0,1.0,0.0,0.0,1.5,8.0,0.0,4.009070351198119,7.688112388382794,7.0964572513420325,4.359538848035809,-7.0
00-0000251,2006,12.0,2.0,1.0,0.0,0.0,4.666666666666667,8.0,0.0,4.352770128810958,7.686560708723007,7.0964572513420325,6.544415006080601,0.0
00-0000251,2006,13.0,6.0,1.0,0.0,-6.0,2.0,4.0,0.0,4.054360036811891,7.666660211210569,7.0964572513420325,6.544415006080601,0.0
00-0000251,2006,14.0,2.0,2.0,0.0,1.0,2.1666666666666665,6.0,0.0,3.7776185765356565,7.6766104599667875,7.0964572513420325,5.390384272646779,-6.0
00-0000251,2006,15.0,6.0,1.0,0.0,-2.0,10.0,2.0,0.0,4.778995006632252,7.628706447788734,7.0964572513420325,5.650034543605632,1.0
00-0000251,2006,16.0,22.0,0.0,0.0,0.0,4.333333333333333,4.0,0.0,4.276083255174251,7.666660211210569,7.0964572513420325,6.159738094935993,-2.0
00-0000251,2006,17.0,6.0,0.0,0.0,0.0,2.5454545454545454,0.0,0.0,3.36312563497517,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0000552,2006,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000552,2006,5.0,0.0,2.0,0.0,-4.0,0.0,8.5,0.0,4.258976728496787,7.693062883432298,7.0964572513420325,6.133970429444316,4.0
00-0000552,2006,6.0,0.0,2.0,0.0,3.0,0.0,4.5,0.0,4.258976728496787,7.653458923036259,7.0964572513420325,4.843474733874492,-4.0
00-0000552,2006,7.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,4.258976728496787,7.688112388382794,7.0964572513420325,5.972658467498088,3.0
00-0000552,2006,12.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,4.199253208839066,7.681585584344897,7.0964572513420325,6.544415006080601,0.0
00-0000552,2006,13.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,4.1518150645859695,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0000552,2006,14.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,4.258976728496787,7.806924269570913,7.0964572513420325,6.295282391390544,5.0
00-0000552,2006,15.0,1.0,2.0,0.0,3.0,3.0,3.5,0.0,4.199253208839066,7.643557932937249,7.0964572513420325,5.488722581659404,0.0
00-0000552,2006,16.0,1.0,1.0,0.0,0.0,11.0,5.0,0.0,4.578758362863834,7.658409418085764,7.0964572513420325,5.972658467498088,3.0
00-0000552,2006,17.0,4.0,3.0,0.0,8.0,4.0,7.0,0.0,4.246691353092161,7.681585584344897,7.0964572513420325,6.544415006080601,0.0
00-0000745,2006,1.0,18.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000745,2006,2.0,21.0,12.0,0.0,14.0,6.111111111111111,12.2,0.0,5.134458518369328,7.795115621723533,7.0964572513420325,3.807465401655391,1.0
00-0000745,2006,3.0,14.0,4.0,0.0,1.0,2.4285714285714284,4.75,0.0,3.3232796984338573,7.518861804025115,7.0964572513420325,2.964690170020143,14.0
00-0000745,2006,5.0,23.0,3.0,0.0,7.0,4.571428571428571,3.5,0.0,4.387331047655768,7.602934815947668,7.0964572513420325,4.271837550751157,1.0
00-0000745,2006,6.0,26.0,3.0,0.0,-2.0,5.3478260869565215,5.333333333333333,0.0,4.840301872830049,7.650239913563174,7.0964572513420325,5.698646472384676,7.0
00-0000745,2006,7.0,27.0,4.0,0.0,4.0,7.115384615384615,14.0,0.0,5.870662316783171,7.778318731297164,7.0964572513420325,4.448502062365007,-2.0
00-0000745,2006,8.0,26.0,3.0,0.0,-2.0,4.222222222222222,8.0,0.0,4.237898352795759,7.691170110065316,7.0964572513420325,4.63772832067952,4.0
00-0000745,2006,9.0,17.0,3.0,0.0,1.0,2.6153846153846154,6.666666666666667,0.0,3.3316043690085237,7.669944347060711,7.0964572513420325,4.448502062365007,-2.0
00-0000745,2006,10.0,19.0,3.0,0.0,-11.0,6.764705882352941,13.333333333333334,0.0,5.407771245941977,7.768466514548395,7.0964572513420325,4.865216865704896,1.0
00-0000745,2006,11.0,10.0,1.0,0.0,-6.0,7.421052631578948,5.333333333333333,0.0,5.796318467230096,7.650239913563174,7.0964572513420325,3.1983576523453383,-11.0
00-0000745,2006,12.0,25.0,5.0,0.0,-10.0,2.7,13.0,0.0,3.7407013140293417,7.711436330613554,7.0964572513420325,5.390384272646779,-6.0
00-0000745,2006,13.0,23.0,5.0,0.0,9.0,3.28,6.0,0.0,3.7160669379146762,7.643896109528411,7.0964572513420325,2.611705127682609,-10.0
00-0000745,2006,14.0,20.0,1.0,0.0,3.0,3.9130434782608696,10.6,0.0,4.074286628750078,7.756091231479631,7.0964572513420325,4.677109237271959,9.0
00-0000745,2006,15.0,19.0,5.0,0.0,-1.0,5.6,6.0,0.0,4.928148638322838,7.6766104599667875,7.0964572513420325,7.121430372797512,3.0
00-0000745,2006,16.0,16.0,3.0,0.0,-6.0,3.9473684210526314,5.8,0.0,4.107478639313349,7.639018060747923,7.0964572513420325,3.590054442751249,-1.0
00-0000745,2006,17.0,23.0,3.0,0.0,5.0,4.4375,4.0,0.0,4.338144295114083,7.630535480065637,7.0964572513420325,3.8928823245784874,-6.0
00-0000745,2006,18.0,26.0,2.0,0.0,5.0,10.173913043478262,8.0,0.0,7.416898602917228,7.689648780558247,7.0964572513420325,5.420836603491416,5.0
00-0000865,2006,1.0,7.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
